Word,Freq,Rank
Olympus,2,1338
strife,2,1339
Bondman,2,1340
exploit,2,1341
roome,2,1342
Helpe,2,1343
haire,2,1344
each,2,1345
ioy,2,1346
One,2,1347
Commons,2,1348
apt,2,1349
lowe,2,1350
leads,2,1351
swore,2,1352
defend,2,1353
Letter,2,1354
Testament,2,1355
fear,2,1356
Haile,2,1357
poor,2,1358
discouer,2,1359
charge,2,1360
Volum,2,1361
wing,2,1362
Bondmen,2,1363
credit,2,1364
Begin,2,1365
terrible,2,1366
knees,2,1367
Hee,2,1368
Countrey,2,1369
Countries,2,1370
Philosophy,2,1371
rid,2,1372
Hounds,2,1373
Hell,2,1374
purposes,2,1375
wonder,2,1376
open,2,1377
Buriall,2,1378
fearing,2,1379
mean,2,1380
friends,2,1381
need,2,1382
sufficeth,2,1383
Better,2,1384
throw,2,1385
yeeres,2,1386
whole,2,1387
strucke,2,1388
familiar,2,1389
sorrow,2,1390
Batchellor,2,1391
lyes,2,1392
euill,2,1393
beside,2,1394
begins,2,1395
vertue,2,1396
parting,2,1397
appear,2,1398
begin,2,1399
steale,2,1400
higher,2,1401
Remember,2,1402
Bribes,2,1403
impossible,2,1404
Brest,2,1405
question,2,1406
Tents,2,1407
pre,2,1408
Beleeue,2,1409
Reason,2,1410
rul,2,1411
render,2,1412
Woe,1,1413
Eares,1,1414
findes,1,1415
infirmitie,1,1416
fright,1,1417
Shake,1,1418
couert,1,1419
earnest,1,1420
feeding,1,1421
repeale,1,1422
ioyn,1,1423
draw,1,1424
eruptions,1,1425
among,1,1426
Searching,1,1427
Carrion,1,1428
places,1,1429
hurle,1,1430
reasons,1,1431
Euery,1,1432
naked,1,1433
turning,1,1434
arm,1,1435
Honour,1,1436
discouered,1,1437
bleede,1,1438
Breake,1,1439
establish,1,1440
gently,1,1441
stampt,1,1442
whilst,1,1443
Captiue,1,1444
flearing,1,1445
vnderlings,1,1446
Valour,1,1447
Oct,1,1448
Torches,1,1449
Vol,1,1450
Abuse,1,1451
Beggers,1,1452
height,1,1453
spirits,1,1454
Calender,1,1455
Weapons,1,1456
Sway,1,1457
decline,1,1458
obseru,1,1459
vnnumbred,1,1460
Eare,1,1461
ears,1,1462
tale,1,1463
Vexed,1,1464
whizzing,1,1465
Conquests,1,1466
plucke,1,1467
perform,1,1468
Disrobe,1,1469
faint,1,1470
threat,1,1471
Spoiles,1,1472
Apes,1,1473
bootlesse,1,1474
Occupation,1,1475
exigent,1,1476
sawe,1,1477
faces,1,1478
Affayres,1,1479
scope,1,1480
returning,1,1481
Rushing,1,1482
wholsome,1,1483
strikes,1,1484
eternall,1,1485
Seek,1,1486
muffling,1,1487
mocke,1,1488
stal,1,1489
otherwise,1,1490
Fires,1,1491
Deede,1,1492
yon,1,1493
glaz,1,1494
waues,1,1495
Worke,1,1496
factious,1,1497
enterred,1,1498
Giues,1,1499
Cobble,1,1500
Sheepe,1,1501
catching,1,1502
Worships,1,1503
Dewes,1,1504
lane,1,1505
labour,1,1506
strings,1,1507
shooke,1,1508
Base,1,1509
Rawe,1,1510
soft,1,1511
playes,1,1512
spurre,1,1513
Sardians,1,1514
Teeth,1,1515
neerer,1,1516
Whilst,1,1517
misgiuing,1,1518
Drinkes,1,1519
far,1,1520
betweene,1,1521
Alasse,1,1522
tyed,1,1523
Leafe,1,1524
drowsily,1,1525
Sutor,1,1526
purchase,1,1527
planted,1,1528
mock,1,1529
serue,1,1530
mistook,1,1531
costly,1,1532
list,1,1533
Robe,1,1534
amaze,1,1535
Cuts,1,1536
former,1,1537
knock,1,1538
yeelded,1,1539
sutor,1,1540
encounter,1,1541
Forgets,1,1542
rule,1,1543
vnscorch,1,1544
Rout,1,1545
passion,1,1546
opening,1,1547
presume,1,1548
flash,1,1549
terror,1,1550
think,1,1551
soundlesse,1,1552
inforced,1,1553
blow,1,1554
determined,1,1555
buy,1,1556
voluntary,1,1557
byrth,1,1558
mak,1,1559
meditating,1,1560
Workman,1,1561
sauing,1,1562
setting,1,1563
ioynes,1,1564
prethee,1,1565
Cowardice,1,1566
Mount,1,1567
cheere,1,1568
While,1,1569
Moone,1,1570
Lippes,1,1571
Prayers,1,1572
Tapor,1,1573
Genius,1,1574
Breefely,1,1575
plague,1,1576
Conscience,1,1577
Acte,1,1578
Foes,1,1579
cumber,1,1580
Orchards,1,1581
trod,1,1582
mention,1,1583
Stoope,1,1584
liefe,1,1585
Messenger,1,1586
Another,1,1587
redder,1,1588
liberty,1,1589
Coarse,1,1590
Course,1,1591
menace,1,1592
Answering,1,1593
Victorie,1,1594
Regions,1,1595
Mountaine,1,1596
runnes,1,1597
wasted,1,1598
silent,1,1599
eate,1,1600
putting,1,1601
weakenesse,1,1602
fooles,1,1603
Outlarie,1,1604
Backe,1,1605
Foe,1,1606
brauely,1,1607
ascend,1,1608
warnings,1,1609
Dogges,1,1610
Among,1,1611
yeare,1,1612
Aeneas,1,1613
bouge,1,1614
Withall,1,1615
limbes,1,1616
shold,1,1617
faile,1,1618
cursed,1,1619
throwes,1,1620
mettle,1,1621
appearing,1,1622
besides,1,1623
Head,1,1624
tyred,1,1625
Richer,1,1626
want,1,1627
seen,1,1628
choak,1,1629
tag,1,1630
action,1,1631
slewe,1,1632
Senses,1,1633
lowest,1,1634
opens,1,1635
presage,1,1636
thirsty,1,1637
entreated,1,1638
sirrah,1,1639
Horses,1,1640
foame,1,1641
Billow,1,1642
Shallowes,1,1643
squeale,1,1644
Apron,1,1645
doubted,1,1646
followed,1,1647
entire,1,1648
perceiu,1,1649
hurtled,1,1650
coniur,1,1651
sterner,1,1652
Griefes,1,1653
listen,1,1654
abridg,1,1655
Kill,1,1656
stolne,1,1657
Thing,1,1658
obscurely,1,1659
basest,1,1660
nice,1,1661
Mart,1,1662
Passion,1,1663
summes,1,1664
bolts,1,1665
downward,1,1666
smatch,1,1667
passions,1,1668
tokens,1,1669
waste,1,1670
twenty,1,1671
farthest,1,1672
heap,1,1673
Follow,1,1674
inflame,1,1675
grant,1,1676
simple,1,1677
presented,1,1678
reputed,1,1679
Expedition,1,1680
knot,1,1681
minded,1,1682
Condition,1,1683
Aule,1,1684
winne,1,1685
Ancestor,1,1686
Messengers,1,1687
Peazants,1,1688
Lines,1,1689
Patient,1,1690
protest,1,1691
gouerne,1,1692
sickely,1,1693
reuenge,1,1694
Season,1,1695
Trees,1,1696
fold,1,1697
chide,1,1698
brook,1,1699
striue,1,1700
Pray,1,1701
neglect,1,1702
Draw,1,1703
curtsies,1,1704
niggard,1,1705
safely,1,1706
Prythee,1,1707
Gamesom,1,1708
Affections,1,1709
Parchment,1,1710
excepted,1,1711
ingrafted,1,1712
drizel,1,1713
Fled,1,1714
Naturall,1,1715
surest,1,1716
lights,1,1717
ashamed,1,1718
Tempest,1,1719
seruile,1,1720
consum,1,1721
Foole,1,1722
hangs,1,1723
constantly,1,1724
howre,1,1725
secrets,1,1726
brutish,1,1727
Opens,1,1728
kil,1,1729
Pretors,1,1730
Sawce,1,1731
gracious,1,1732
carue,1,1733
causes,1,1734
augmented,1,1735
